# Region = CEP
index  ra  dec  j  h  k  ch1  ch2  ch3  ch4  m24  uj  uh  uk  uch1  uch2  uch3  uch4  um24  ak  class
230841  347.06613  62.458995  -100.000  -100.000  -100.000  11.4767  10.3848  9.67897  8.91203  4.60662  10.0000  10.0000  10.0000  0.00690852  0.00409727  0.00471505  0.00441317  0.0541127  0.00000  1
231340  346.52052  62.477778  -100.000  -100.000  -100.000  14.5840  13.7713  13.0105  12.0051  8.18430  10.0000  10.0000  10.0000  0.0124093  0.0105165  0.0267733  0.0428550  0.0372385  0.00000  1
231658  343.38070  62.535284  -100.000  -100.000  -100.000  14.0943  12.8210  11.9380  11.5207  -100.000  10.0000  10.0000  10.0000  0.0587158  0.0200272  0.0659316  0.0624232  10.0000  0.00000  1
232003  347.07620  62.462489  -100.000  -100.000  -100.000  12.1640  11.0374  10.3197  9.63100  3.90417  10.0000  10.0000  10.0000  0.0126936  0.0118058  0.00717314  0.00502701  0.0287862  0.00000  1
232087  346.33234  62.485584  -100.000  16.3790  14.9770  13.7801  13.0699  12.3122  11.3692  7.66956  10.0000  0.270000  0.118000  0.0141882  0.0111521  0.0269518  0.0494088  0.0455636  0.00000  1
233104  346.42645  62.485957  -100.000  -100.000  -100.000  12.3763  10.7239  9.93819  9.81444  -100.000  10.0000  10.0000  10.0000  0.0346591  0.0241197  0.0349242  0.0481265  10.0000  0.00000  1
233970  344.58408  62.529103  -100.000  -100.000  -100.000  12.3672  10.1164  8.60477  7.26323  2.83962  10.0000  10.0000  10.0000  0.0102273  0.00353912  0.00269617  0.00264263  0.00504263  0.00000  1
234162  347.06451  62.469574  -100.000  -100.000  15.3190  13.5133  12.7004  11.6550  10.1380  6.36037  10.0000  10.0000  0.146000  0.0168299  0.0101160  0.0199680  0.0302850  0.0364005  0.00000  1
234414  346.39426  62.491074  -100.000  -100.000  -100.000  12.3751  10.5423  9.32028  8.60472  3.74372  10.0000  10.0000  10.0000  0.00535343  0.00358211  0.00331661  0.00617190  0.0104988  0.00000  1
234852  344.46453  62.533765  -100.000  -100.000  -100.000  13.1290  12.3111  11.5414  10.6060  -100.000  10.0000  10.0000  10.0000  0.0212398  0.00936928  0.0653797  0.132533  10.0000  0.00000  1
235746  346.41606  62.494568  -100.000  -100.000  -100.000  13.3081  12.1961  11.2261  10.4471  -100.000  10.0000  10.0000  10.0000  0.0229145  0.0233904  0.0331838  0.0393830  10.0000  0.00000  1
235880  349.14107  62.390467  -100.000  -100.000  15.0700  14.4887  13.4697  12.7320  12.0786  7.08553  10.0000  10.0000  0.131000  0.0147365  0.00957809  0.0405053  0.0402384  0.0272777  0.00000  1
237366  346.43768  62.498991  -100.000  -100.000  -100.000  13.3335  11.3510  10.2243  9.47503  5.34020  10.0000  10.0000  10.0000  0.0553120  0.0290291  0.0235004  0.0467982  0.0453532  0.00000  1
237695  346.44635  62.500136  -100.000  -100.000  -100.000  12.4324  11.4666  10.7179  9.86328  -100.000  10.0000  10.0000  10.0000  0.0231911  0.0158320  0.0716341  0.175139  10.0000  0.00000  1
238272  344.54275  62.543428  -100.000  -100.000  -100.000  10.8403  9.28400  7.92644  6.96785  -100.000  10.0000  10.0000  10.0000  0.0222980  0.00742868  0.0320159  0.0733702  10.0000  0.00000  1
